sport,dsport,Label
49965,443,2
50645,80,2
38868,443,2
57985,53,2
60110,53,2
57441,53,2
61179,53,2
80,47273,2
443,50276,2
50200,443,2
55571,53,2
34444,80,2
52538,53,2
61952,53,2
63650,53,2
29410,53,2
61998,53,2
64691,53,2
50023,443,2
42242,53,2
58840,53,2
80,50667,2
30101,53,2
50756,53,2
61584,53,2
59177,53,2
60451,53,2
55581,53,2
38173,443,2
60851,53,2
63777,53,2
52368,53,2
24054,53,2
53595,53,2
61074,53,2
56984,53,2
52212,53,2
443,38576,2
19175,53,2
61711,53,2
60224,53,2
19691,53,2
34022,53,2
56766,53,2
59182,53,2
56444,53,2
62065,53,2
60653,53,2
61509,53,2
61337,53,2
47170,80,2
57044,53,2
60619,53,2
50665,53,2
7469,53,2
51756,53,2
60645,53,2
60683,53,2
49381,53,2
61548,53,2
59934,53,2
58143,53,2
60287,53,2
60448,53,2
50055,53,2
62685,53,2
58093,53,2
60988,53,2
61793,53,2
59264,53,2
51375,53,2
55404,53,2
65405,53,2
56942,53,2
58169,53,2
62131,53,2
61080,53,2
60946,53,2
58390,53,2
43778,53,2
56388,53,2
64603,53,2
51145,53,2
49409,53,2
34179,443,2
45278,53,2
55706,53,2
1910,53,2
62725,53,2
49923,80,2
62275,53,2
51241,53,2
55820,53,2
52792,80,2
11956,53,2
63180,53,2
65326,53,2
61997,53,2
60858,53,2
60240,53,2
34281,443,2
61806,53,2
61278,53,2
60164,53,2
54854,53,2
57751,53,2
7728,53,2
54062,53,2
31028,53,2
50080,80,2
22327,53,2
18135,53,2
62790,53,2
60935,53,2
7616,53,2
62284,53,2
55381,53,2
10290,53,2
49516,53,2
37094,53,2
50112,443,2
59054,53,2
60323,53,2
21843,53,2
62345,53,2
52927,53,2
8565,53,2
48557,53,2
64280,53,2
443,50278,2
47027,443,2
61950,53,2
58717,53,2
61733,53,2
60590,53,2
49980,53,2
61887,53,2
54328,53,2
60382,53,2
61808,53,2
60462,53,2
60442,53,2
60796,53,2
61041,53,2
61427,53,2
61126,53,2
62344,53,2
61973,53,2
60613,53,2
62262,53,2
49953,53,2
64327,53,2
1631,53,2
61414,53,2
60146,53,2
62089,53,2
39705,53,2
23374,53,2
40845,53,2
54282,53,2
57098,53,2
60336,53,2
52101,53,2
443,37279,2
62212,53,2
52030,53,2
54867,53,2
52656,53,2
60724,53,2
60829,53,2
31642,53,2
49608,443,2
60705,53,2
59604,80,2
53393,53,2
50619,443,2
13491,53,2
62329,53,2
48851,53,2
5185,53,2
27901,53,2
56578,53,2
56795,53,2
18512,53,2
17017,53,2
61764,53,2
59548,53,2
34177,443,2
51429,53,2
62021,53,2
41555,53,2
61417,53,2
32816,53,2
40580,53,2
443,49965,2
65040,53,2
60361,53,2
47560,443,2
50670,80,2
60521,53,2
443,50034,2
28359,53,2
56304,53,2
36159,53,2
80,49989,2
56566,53,2
33329,443,2
60862,53,2
60142,53,2
10094,53,2
80,49982,2
50665,80,2
63676,53,2
54703,53,2
61187,53,2
443,36915,2
49714,53,2
51417,53,2
60710,53,2
55423,53,2
80,47171,2
62099,53,2
60688,53,2
56618,53,2
49938,80,2
33327,443,2
50126,443,2
49869,80,2
53038,443,2
36927,443,2
60888,443,2
443,50264,2
41761,80,2
50125,443,2
50125,443,2
37279,443,2
55220,80,2
60829,443,2
60794,443,2
41683,80,2
15240,80,2
80,50097,2
80,50097,2
50102,80,2
40321,22,2
40320,22,2
49912,80,2
49907,80,2
49911,80,2
15247,80,2
56767,443,2
50118,80,2
48594,80,2
46856,80,2
46607,80,2
52040,443,2
49959,80,2
49890,443,2
50103,80,2
50109,443,2
49958,80,2
49954,80,2
51118,80,2
32918,80,2
49979,80,2
49893,443,2
36820,80,2
46778,80,2
38064,443,2
50114,443,2
50113,443,2
65057,53,2
52569,443,2
55792,443,2
50202,443,2
49946,443,2
50051,80,2
50048,80,2
46854,80,2
42452,80,2
51697,443,2
57349,80,2
50121,80,2
50620,443,2
50101,80,2
50091,80,2
50090,80,2
80,50059,2
50059,80,2
50068,80,2
50049,80,2
443,50029,2
50036,80,2
39159,80,2
50018,443,2
49952,80,2
49948,443,2
80,49941,2
49933,443,2
50070,80,2
49889,80,2
50015,443,2
50066,80,2
50061,80,2
50062,80,2
50020,80,2
443,50012,2
50012,443,2
50013,443,2
50010,443,2
49931,443,2
49883,80,2
49951,443,2
59363,443,2
443,50258,2
50258,443,2
50619,443,2
50087,80,2
32899,443,2
50621,443,2
443,50054,2
50004,443,2
55266,443,2
51644,15703,2
47026,443,2
47026,443,2
59363,443,2
50290,21,2
50085,80,2
34175,443,2
34144,443,2
34169,443,2
44192,22,2
39262,80,2
50675,80,2
44190,22,2
59357,443,2
59349,443,2
50105,443,2
39244,80,2
39629,443,2
60786,443,2
47230,443,2
60711,53,2
56636,53,2
54530,53,2
64121,53,2
4210,53,2
51419,443,2
50292,53,2
58908,53,2
37503,80,2
53632,3268,2
56815,53,2
49650,53,2
52948,53,2
60896,53,2
52361,53,2
61213,53,2
61674,53,2
63444,53,2
39762,80,2
123,123,2
49919,443,2
49967,443,2
50294,443,2
40786,80,2
55522,53,2
34118,443,2
54962,53,2
