sport,dsport,Label
40755,25,2
32473,80,2
52231,8983,2
22880,514,2
58472,25,2
37332,514,2
24824,514,2
3844,25,2
12661,80,2
35134,59801,2
34532,111,2
40079,25,2
40079,25,2
25851,110,2
59985,25,2
30809,80,2
1107,110,2
1107,110,2
9788,139,2
18038,5190,2
13400,25,2
51455,80,2
40440,143,2
23279,53,2
3981,80,2
41722,38438,2
50464,36703,2
43500,80,2
16313,80,2
62306,62685,2
60640,53,2
60640,53,2
30079,80,2
53906,30835,2
42439,43205,2
19018,80,2
17067,80,2
9644,9091,2
46415,80,2
30599,6881,2
20899,143,2
20899,143,2
42297,6881,2
60587,13907,2
28141,3660,2
21264,6881,2
54910,6881,2
61142,6881,2
54703,6881,2
34857,6881,2
36149,6881,2
27204,25,2
40018,6881,2
4320,6881,2
40085,41562,2
27204,25,2
28616,6881,2
57195,6881,2
65185,15822,2
40085,41562,2
61872,6881,2
53906,30835,2
32328,6881,2
11597,6881,2
27938,18562,2
14055,21,2
7564,6881,2
55582,32232,2
4320,6881,2
31182,6881,2
51549,6881,2
2510,32560,2
53475,6881,2
44953,45948,2
1771,50363,2
51789,6881,2
5684,6881,2
5794,80,2
39699,21,2
22608,6881,2
43643,80,2
27852,143,2
57773,6881,2
55252,6881,2
45192,80,2
28616,6881,2
39699,21,2
48469,6881,2
48142,6881,2
61439,22,2
1744,25,2
27498,80,2
40018,6881,2
34860,6881,2
43643,80,2
45192,80,2
24338,6881,2
10693,6881,2
32847,6881,2
11608,10362,2
6156,143,2
12616,80,2
49578,6881,2
10446,6881,2
16013,62364,2
37895,44790,2
49085,6881,2
51949,28775,2
34631,41138,2
45489,6881,2
45489,6881,2
34837,11268,2
57847,14029,2
1275,48719,2
25221,6881,2
12772,22,2
15691,6881,2
46193,6881,2
15545,6881,2
49926,6881,2
53157,32257,2
60354,6500,2
64411,111,2
45473,6881,2
8325,6881,2
11782,6881,2
29157,22,2
13400,25,2
5794,80,2
39937,5190,2
29157,22,2
1449,80,2
4989,3734,2
6156,143,2
1771,50363,2
3171,26765,2
21940,80,2
32665,6881,2
55929,5190,2
60354,6500,2
50540,29059,2
50540,29059,2
44276,6881,2
56470,80,2
9286,6995,2
9828,44350,2
56470,80,2
9320,80,2
60616,80,2
27406,55730,2
55142,61339,2
27498,80,2
1154,25,2
2570,22,2
26986,55300,2
10666,6881,2
48910,2769,2
40179,5966,2
14118,13101,2
13269,6881,2
35583,6881,2
56605,27010,2
56605,27010,2
14118,13101,2
38808,9262,2
15684,28434,2
20899,1158,2
25440,80,2
26324,6881,2
65036,15328,2
54752,6881,2
25069,21495,2
50768,6881,2
52304,6881,2
45192,80,2
26986,55300,2
15125,6881,2
8324,5190,2
18915,6881,2
30079,5190,2
19219,6881,2
20419,5190,2
65036,15328,2
25383,59149,2
27269,80,2
28244,6881,2
8688,6931,2
51709,57689,2
46870,6881,2
38372,44418,2
31446,55778,2
21631,36735,2
63902,14470,2
26215,1511,2
2901,47755,2
5607,4283,2
16547,21,2
30461,58206,2
45192,80,2
21129,143,2
43643,80,2
14582,80,2
55944,25120,2
12616,80,2
56470,80,2
1683,2741,2
2901,47755,2
23339,59290,2
27498,80,2
48804,49155,2
1683,2741,2
48866,22,2
41549,38359,2
51619,57818,2
12151,6881,2
15744,5190,2
9320,80,2
11800,5190,2
1071,22,2
1071,22,2
21824,64704,2
45192,80,2
56608,6881,2
29793,6881,2
30550,6881,2
56608,6881,2
6854,43785,2
1410,53817,2
45060,5198,2
1588,26715,2
45192,80,2
28616,56235,2
21186,22969,2
9968,25,2
47007,5190,2
22220,63810,2
61315,60094,2
4172,6881,2
49461,6881,2
14582,80,2
14582,80,2
20190,6881,2
30943,6881,2
30943,6881,2
26935,6881,2
9320,80,2
27462,80,2
53025,6881,2
14582,80,2
50624,20526,2
48810,32660,2
17067,80,2
48810,32660,2
7994,43730,2
10541,25,2
41388,80,2
34075,6881,2
17067,80,2
46582,80,2
1382,62701,2
43212,6881,2
45406,22,2
1083,17606,2
60951,6881,2
12963,143,2
4373,6881,2
52767,6881,2
5089,6881,2
43712,25,2
35741,63302,2
19436,111,2
64755,59608,2
3689,6881,2
3689,6881,2
39769,6881,2
37546,6881,2
15135,80,2
49788,22,2
16755,63432,2
23840,6881,2
28092,6881,2
61751,64199,2
51308,6881,2
30615,6881,2
53620,6881,2
30168,6881,2
47099,6881,2
45500,6881,2
38549,6881,2
11465,143,2
20099,4485,2
59828,22739,2
57480,80,2
29561,6881,2
9689,6881,2
11871,6881,2
40477,6881,2
4506,46229,2
43284,6881,2
38932,6881,2
42846,4325,2
14870,6881,2
55668,25,2
63455,53,2
27256,6881,2
27473,22,2
63615,6881,2
9477,6881,2
16800,6881,2
13206,143,2
27749,20496,2
24808,143,2
3750,6881,2
2395,22,2
24808,143,2
56480,13620,2
52946,31886,2
5609,3659,2
60048,6881,2
48154,6881,2
51417,80,2
31751,6881,2
52596,27688,2
52596,27688,2
11628,10296,2
11628,10296,2
16070,15663,2
58474,143,2
59795,36850,2
21326,22,2
25410,59025,2
25410,59025,2
5403,4092,2
43926,43122,2
5411,143,2
35084,80,2
41462,143,2
5411,143,2
62671,25,2
41462,143,2
55202,6881,2
25465,24221,2
41462,143,2
41462,143,2
56521,28393,2
47462,143,2
47462,143,2
42722,49507,2
42722,49507,2
43711,3603,2
44237,42813,2
17753,6881,2
10470,143,2
35230,53,2
24948,6881,2
28992,6881,2
56194,6881,2
57403,61382,2
57065,6881,2
33222,6881,2
41119,143,2
41119,143,2
41119,143,2
41119,143,2
36885,6881,2
36091,53,2
61241,6881,2
1110,6881,2
46998,6881,2
48967,2655,2
35300,25,2
3671,6881,2
26807,24456,2
14961,5190,2
13275,80,2
63450,6881,2
21363,1794,2
1306,65229,2
65459,65361,2
65459,65361,2
51512,6881,2
49864,143,2
46577,6881,2
47396,58431,2
46282,53,2
42911,6881,2
35569,6881,2
64999,6881,2
20499,62609,2
60889,6881,2
23502,6881,2
3469,6881,2
3469,6881,2
44865,52358,2
37376,6881,2
37376,6881,2
12221,22,2
59136,62960,2
60778,22829,2
61502,5190,2
61502,5190,2
3833,6881,2
32948,6881,2
17004,6881,2
38207,9288,2
38207,9288,2
38207,9288,2
19133,36529,2
57146,6881,2
56335,80,2
52164,6881,2
50369,23184,2
6492,6881,2
46275,22,2
50968,6881,2
40011,6881,2
5827,53859,2
54020,6881,2
39159,25,2
8938,45138,2
11453,5190,2
54020,6881,2
33357,6881,2
62729,25,2
33357,6881,2
33357,6881,2
33357,6881,2
30825,80,2
1455,6881,2
46152,6881,2
1455,6881,2
32776,6881,2
60667,22,2
52390,6881,2
37382,6881,2
51271,6881,2
51271,6881,2
10777,6881,2
51271,6881,2
18893,6881,2
51271,6881,2
51271,6881,2
11570,6881,2
36696,6881,2
51271,6881,2
60125,20996,2
52164,6881,2
21245,59958,2
62206,80,2
26156,6881,2
31714,80,2
1867,22,2
1867,22,2
31714,80,2
6755,6881,2
31714,80,2
31714,80,2
10929,6881,2
54020,6881,2
14424,44959,2
37160,5190,2
1425,37293,2
54020,6881,2
60895,5190,2
60661,6881,2
33357,6881,2
33357,6881,2
25637,6881,2
5797,80,2
1455,6881,2
1455,6881,2
8110,143,2
53609,25,2
26874,80,2
26874,80,2
26874,80,2
52164,6881,2
10472,6881,2
26874,80,2
4776,49816,2
52164,6881,2
44321,6881,2
13434,6881,2
13473,25,2
50968,6881,2
37369,6881,2
35739,42025,2
37449,35331,2
25102,6881,2
55726,6881,2
25102,6881,2
54389,65197,2
57995,26291,2
30256,22,2
52529,6881,2
7657,6881,2
38924,25,2
7349,6881,2
38924,25,2
43351,57788,2
8727,6881,2
41767,6881,2
40690,6881,2
40999,6881,2
44393,22,2
15287,5190,2
58025,26265,2
38315,6881,2
10594,39102,2
12587,38190,2
34033,40020,2
60408,6881,2
20127,6881,2
59823,6881,2
32308,25,2
45230,6881,2
45230,6881,2
45250,80,2
44917,6881,2
35530,6881,2
35953,6881,2
64534,6881,2
22987,6881,2
21118,6881,2
23237,80,2
30705,6881,2
30705,6881,2
23237,80,2
2080,143,2
8586,6881,2
53216,56538,2
23237,80,2
2575,143,2
46782,54547,2
1513,6881,2
1513,6881,2
21197,19165,2
50702,25162,2
32815,50223,2
53971,54100,2
7455,6881,2
48981,143,2
6632,25,2
49456,80,2
6920,143,2
40352,5190,2
6920,143,2
6920,143,2
6920,143,2
23244,6881,2
64899,22,2
1179,32001,2
47031,53022,2
10517,6577,2
7713,143,2
24185,6881,2
30974,6881,2
16586,143,2
57234,22,2
57234,22,2
57234,22,2
16586,143,2
53364,20535,2
6737,5190,2
38413,44972,2
38943,7052,2
57194,80,2
52020,56286,2
52020,56286,2
32275,143,2
43473,6881,2
44429,6881,2
48397,2347,2
18901,6881,2
8532,48217,2
8532,48217,2
13127,143,2
35414,22,2
35414,22,2
17395,5190,2
21258,22,2
30584,25,2
5731,20585,2
5731,20585,2
40724,7305,2
15620,41666,2
20558,6881,2
36159,53,2
18471,143,2
23271,6881,2
61884,6881,2
60573,6881,2
46456,6881,2
50755,6881,2
45305,5519,2
9770,6881,2
12434,6881,2
40687,6881,2
64927,6881,2
19021,63657,2
36548,21,2
18084,18853,2
25238,6881,2
60689,60428,2
60689,60428,2
56316,62356,2
48193,2790,2
44487,6881,2
42831,6881,2
39030,6881,2
9366,25,2
9293,9400,2
10707,44728,2
10707,44728,2
